episode,service_quality,mitigation_efficiency,attack_leakage,collateral_damage,sla_violation,shield_repair,defender_reward,attacker_reward,attack_intensity,protocol
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,3
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,3
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.55,1.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.75,1.0,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.94,0.2,3
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.8500000000000001,0.5,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,3
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.76,0.8,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.94,0.2,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,3
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.94,0.2,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.8500000000000001,0.5,1
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.75,1.0,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.775,0.5,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.75,1.0,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.55,1.0,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.775,0.5,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.94,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.94,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.8500000000000001,0.5,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.94,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,1
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7,1.0,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.75,1.0,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.75,1.0,1
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.76,0.8,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.55,1.0,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.5,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.76,0.8,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,0
2,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,1
2,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.8500000000000001,0.5,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.5,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,2
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.5,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.5,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,2
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.55,1.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7,1.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.775,0.5,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.75,1.0,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.775,0.5,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.75,1.0,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.94,0.2,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.8500000000000001,0.5,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,1
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.75,1.0,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7,1.0,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,1
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.775,0.5,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.8500000000000001,0.5,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.5,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.94,0.2,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.5,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.94,0.2,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7,1.0,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.76,0.8,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.8500000000000001,0.5,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.775,0.5,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,1
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,2
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.75,1.0,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.64,0.8,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,2
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.2,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,1
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,2
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7,1.0,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.76,0.8,3
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.76,0.8,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.5,2
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9199999999999999,0.2,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9099999999999999,0.3,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,1
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6799999999999999,0.8,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.875,0.5,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.6000000000000001,1.0,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,2
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.7999999999999999,0.8,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.95,0.2,0
3,1.0,0.0,1.0,0.0,0,0.0,-1.0,0.9249999999999999,0.3,3
3,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0
